icd_code,icd_version,long_title,cancer_type
C4910,10,"Malignant neoplasm of connective and soft tissue of unspecified upper limb, including shoulder",Malignant neoplasm of other connective tissues
C50511,10,Malignant neoplasm of lower-outer quadrant of right female breast,Breast Cancer
C572,10,Malignant neoplasm of round ligament,Malignant neoplasm of other female genital organs
C629,10,"Malignant neoplasm of testis, unspecified whether descended or undescended",Malignant neoplasm of testis
C6942,10,Malignant neoplasm of left ciliary body,Malignant neoplasm of eye and adnexa
C696,10,Malignant neoplasm of orbit,Malignant neoplasm of eye and adnexa
C699,10,Malignant neoplasm of unspecified site of eye,Malignant neoplasm of eye and adnexa
C7221,10,Malignant neoplasm of right olfactory nerve,"Malignant neoplasm of spinal cord, cranial nerves, and other parts of CNS"
C758,10,"Malignant neoplasm with pluriglandular involvement, unspecified",Malignant neoplasm of other endocrine glands
C78,10,Secondary malignant neoplasm of respiratory and digestive organs,Secondary malignant neoplasm of respiratory and digestive organs
C8114,10,"Nodular sclerosis Hodgkin lymphoma, lymph nodes of axilla and upper limb",Hodgkin lymphoma
C8235,10,"Follicular lymphoma grade IIIa, lymph nodes of inguinal region and lower limb",Non-Hodgkin Lymphoma
C8244,10,"Follicular lymphoma grade IIIb, lymph nodes of axilla and upper limb",Non-Hodgkin Lymphoma
C8289,10,"Other types of follicular lymphoma, extranodal and solid organ sites",Non-Hodgkin Lymphoma
C8337,10,"Diffuse large B-cell lymphoma, spleen",Non-Hodgkin lymphoma
